640,640,225,462,276,531
640,640,162,61,196,111
640,640,48,284,112,362
640,640,102,369,141,407
640,640,113,452,154,488
640,640,102,586,139,630
640,640,88,483,119,522
640,640,37,106,76,142
640,640,287,268,328,318
640,640,451,59,491,118
640,640,486,149,516,194
640,640,445,246,515,320
640,640,571,348,629,449
640,640,602,527,634,582
640,640,527,581,573,640
640,640,457,584,507,640
640,640,493,507,524,587
640,640,431,525,467,571
640,640,377,516,416,571
640,640,405,383,453,425
640,640,179,384,216,447
640,640,158,573,211,640
640,640,1,356,22,409
640,640,193,185,240,239
640,640,206,78,245,160
640,640,161,114,201,172
640,640,367,223,406,308
640,640,357,294,385,352
640,640,334,401,354,430
640,640,224,358,257,397
640,640,77,28,102,70
640,640,1,177,23,263
640,640,2,89,22,126
640,640,567,31,596,78
640,640,568,256,591,331
640,640,571,486,603,542
640,640,500,359,519,429
640,640,458,430,482,467
640,640,431,471,463,500
640,640,386,476,416,513
640,640,301,415,327,474
640,640,261,405,287,451
640,640,288,328,329,371
640,640,377,593,402,632
640,640,271,582,299,615
640,640,249,70,293,136
640,640,286,17,336,97
