640,640,364,462,415,531
640,640,444,61,478,111
640,640,528,284,592,362
640,640,499,369,538,407
640,640,486,452,527,488
640,640,501,586,538,630
640,640,521,483,552,522
640,640,564,106,603,142
640,640,312,268,353,318
640,640,149,59,189,118
640,640,124,149,154,194
640,640,126,246,196,320
640,640,11,348,69,449
640,640,6,527,38,582
640,640,67,581,113,640
640,640,134,584,184,640
640,640,117,507,148,587
640,640,173,525,209,571
640,640,225,516,264,571
640,640,188,383,236,425
640,640,424,384,461,447
640,640,429,573,482,640
640,640,618,356,639,409
640,640,400,185,447,239
640,640,395,78,434,160
640,640,439,114,479,172
640,640,235,223,274,308
640,640,255,294,283,352
640,640,286,401,306,430
640,640,384,358,417,397
640,640,538,28,563,70
640,640,617,177,639,263
640,640,618,89,638,126
640,640,45,31,74,78
640,640,49,256,72,331
640,640,38,486,70,542
640,640,121,359,140,429
640,640,158,430,182,467
640,640,177,471,209,500
640,640,224,476,254,513
640,640,313,415,339,474
640,640,354,405,380,451
640,640,311,328,352,371
640,640,238,593,263,632
640,640,341,582,369,615
640,640,348,70,392,136
640,640,304,17,354,97
