416,416,207,163,275,235
416,416,335,30,373,69
416,416,53,43,81,72
416,416,104,46,144,87
416,416,0,85,43,137
416,416,35,161,96,248
416,416,70,344,142,414
416,416,196,261,242,316
416,416,258,262,324,333
416,416,342,296,397,340
416,416,285,159,313,205
416,416,169,170,212,220
416,416,99,102,129,142
416,416,125,83,168,122
416,416,244,76,304,128
416,416,315,309,338,373
416,416,167,83,185,128
416,416,187,37,218,91
416,416,40,2,89,41
416,416,294,137,324,164
416,416,366,104,387,152
416,416,254,0,290,24
416,416,363,368,363,368
