416,416,1,54,70,106
416,416,0,78,38,132
416,416,7,237,106,318
416,416,65,295,142,380
416,416,269,303,349,370
416,416,211,304,263,405
416,416,168,312,218,410
416,416,39,145,127,230
416,416,83,54,156,131
416,416,122,89,199,140
416,416,134,106,198,176
416,416,0,137,60,203
416,416,177,195,261,241
416,416,178,98,221,161
416,416,214,87,254,139
416,416,250,108,272,139
416,416,305,108,371,150
416,416,318,125,394,182
416,416,261,184,367,245
416,416,307,226,396,287
416,416,219,245,291,299
416,416,203,143,271,192
416,416,311,293,377,333
